,importance,stddev,p_value,n,p99_high,p99_low
average_stars,0.433472090101242,0.031131377409748695,3.170656409332625e-06,5,0.49757202646927673,0.36937215373320725
stars_business,0.22099276665925985,0.025414155251184085,2.062301841703272e-05,5,0.27332086358240226,0.16866466973611743
useful,0.11773069989919663,0.01610578699352677,4.1000596710434327e-05,5,0.150892737924501,0.08456866187389225
cool,0.09612227986097335,0.015180006223132994,7.22216435669252e-05,5,0.12737812248438687,0.06486643723755983
funny,0.08488323579549788,0.015634702879413195,0.00013208631356404076,5,0.11707530511876799,0.05269116647222776
useful_user,0.06459476583480835,0.0053471139648190195,5.583572002298964e-06,5,0.07560454739333965,0.053584984276277045
review_count,0.041211165485382104,0.005962249202243024,5.1137329817940715e-05,5,0.05348751899984193,0.028934811970922274
funny_user,0.04024921582221987,0.004573217088794125,1.966074053180514e-05,5,0.04966553301662437,0.030832898627815374
cool_user,0.033217045991420745,0.00801393511686813,0.0003768300473158105,5,0.04971784916140656,0.016716242821434926
postal_code,0.015483559846878058,0.005962728808246247,0.0021884462053700067,5,0.027760900876727383,0.003206218817028733
total_compliments,0.0101761737704277,0.002464037463251094,0.0003821396867676302,5,0.01524966096387867,0.005102686576976728
date,0.009487241044044525,0.007900733545403604,0.02746890050846668,5,0.025754960613772897,-0.006780478525683847
elite_count,0.009074603605270393,0.002691064824833773,0.0008284867413725177,5,0.0146155432740717,0.0035336639364690874
year,0.006709767661094657,0.0048099281050799185,0.017775733558792486,5,0.016613476109725536,-0.0031939407875362247
business_id,0.006513442153930659,0.001801155424336896,0.0006354953479829988,5,0.010222046067253864,0.0028048382406074537
fans,0.005813936147689836,0.00033639592590345744,1.3389582236413892e-06,5,0.006506580008610856,0.005121292286768816
cat_Restaurants,0.005430475432872783,0.002852981676372558,0.006546497507783951,5,0.011304804136921164,-0.000443853271175596
days_yelping,0.005179942507743851,0.004990209794468033,0.04052006741590097,5,0.015454853446582609,-0.0050949684310949055
review_count_business,0.00462634623527527,0.004888282157714782,0.050885547345550675,5,0.01469138676124943,-0.005438694290698891
user_id,0.004179553413391113,0.002741264008069926,0.013522518168735894,5,0.009823853894302105,-0.0014647470675198783
month,0.0025280288815498373,0.001374258678424217,0.007345794005376434,5,0.005357646494698774,-0.0003015887315990992
cat_Automotive,0.002038605554103845,0.0026418826142182287,0.07976384527200708,5,0.0074782783714773555,-0.0034010672632696654
friend_count,0.0019563367319106904,0.0013745966778756608,0.016729330213418228,5,0.004786650290601799,-0.0008739768267804178
cat_Food,0.001699067132473009,0.0022165128927171783,0.080835428229244,5,0.006262897814041513,-0.0028647635490954954
cat_Beauty_&_Spas,0.0016967652845382819,0.000951604891984974,0.008152579797996998,5,0.0036561329097126866,-0.00026260234063612306
cat_Event_Planning_&_Ser,0.0016228070020675612,0.00041045671435713797,0.00045187450208116945,5,0.0024679430500435875,0.0007776709540915348
day,0.0015026351523399705,0.0013085477604914927,0.03106394676420673,5,0.004196953077244024,-0.0011916827725640834
cat_Health_&_Medical,0.001288676209449746,0.0006428643704082271,0.005484856010252157,5,0.0026123428334501363,-3.49904145506444e-05
cat_Home_Services,0.0012430117440223488,0.0014751672403622684,0.06632067118288838,5,0.004280401480906276,-0.0017943779928615785
is_open,0.0011864138770103284,0.0015461591365265519,0.08067051058681383,5,0.004369976909308794,-0.0019971491552881375
cat_Coffee_&_Tea,0.0008320074987411497,0.001513659009923351,0.143198618962177,5,0.003948652321164138,-0.002284637323681839
cat_Shopping,0.0007144516563415415,0.000894972465557344,0.07440383473044708,5,0.0025572123327581397,-0.0011283090200750567
cat_Fast_Food,0.0006299198102951209,0.0008357342108798493,0.08359654844301444,5,0.0023507081015710675,-0.001090868480980826
cat_Pizza,0.0004840149450302311,0.0003540086327105999,0.01888001011546672,5,0.001212923612700635,-0.0002448937226401729
cat_Breakfast_&_Brunch,0.000354103407859796,0.0006281626005067395,0.1380032780825477,5,0.0016474988844329692,-0.0009392920687133772
cat_American_(Traditiona,0.0003464636063575943,0.00047951389748443783,0.09073920076724515,5,0.0013337893488644345,-0.0006408621361492458
cat_Bars,0.0003406073021888778,0.0019644123112571798,0.35898939512751094,5,0.00438535940213092,-0.0037041447977531642
cat_American_(New),0.0003359328937530659,0.000867982908964206,0.21781352652858232,5,0.0021231217001090783,-0.0014512559126029466
cat_Active_Life,0.00011519207000734166,0.0014867425101374415,0.43543454802642556,5,0.0031764154473455804,-0.0029460313073308973
cat_Nightlife,3.879026889799242e-05,0.001526788967313323,0.47871036654592075,5,0.0031824698550622305,-0.003104889317266246
cat_Hotels_&_Travel,5.998301506027204e-06,0.0012335541327283535,0.4959226719721693,5,0.00254590331032369,-0.0025339067073116353
cat_Local_Services,-4.149065971374988e-05,0.0008129759070661455,0.5426788837144165,5,0.001632437969456594,-0.0017154192888840939
cat_Sandwiches,-0.00013600664615631697,0.0007611131096780191,0.6450561211399062,5,0.0014311357663718378,-0.0017031490586844717
